org_id	remap_id
book.written_work.author	0
book.written_work.previous_in_series	1
book.written_work.subjects	2
book.book.genre	3
media_common.adapted_work.adaptations	4
book.book.characters	5
book.written_work.original_language	6
book.book_subject.works	7
book.book_character.appears_in_book	8
book.written_work.next_in_series	9
book.author.works_written	10
book.written_work.part_of_series	11
book.literary_series.works_in_this_series	12
media_common.adaptation.adapted_from	13
media_common.literary_genre.books_in_this_genre	14
book.book.award_won	15
book.award_won.book	16
book.book.award_nomination	17
book.award_nomination.book	18
